,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Row,Col,Treatment,Concentration_uM,Cell_Death,Well,A,incubation_time,drug,Row_New,concentr,normalized_atp_1,plate,B,normalized_atp_2,C,normalized_atp_3,normalized_atp
129,129,129,52,C,4,Vinblastine,"0,00111",Apoptosis,C04,,28h,apoptosis,3,0.00111,,2,175976.0,0.7008282583362525,,,0.7008282583362525
130,130,130,61,C,13,Vinblastine,"0,00222",Apoptosis,C13,,28h,apoptosis,3,0.00222,,2,145576.0,0.5797595952604804,,,0.5797595952604804
131,131,131,62,C,14,Vinblastine,"0,00111",Apoptosis,C14,,28h,apoptosis,3,0.00111,,2,161064.0,0.641440893080137,,,0.641440893080137
132,132,132,66,C,18,Vinblastine,"0,00222",Apoptosis,C18,,28h,apoptosis,3,0.00222,,2,132560.0,0.5279230913593538,,,0.5279230913593538
133,133,133,67,C,19,Vinblastine,"0,00111",Apoptosis,C19,,28h,apoptosis,3,0.00111,,2,190800.0,0.7598651616729383,,,0.7598651616729383
134,134,134,75,D,3,Paclitaxel,"110,24",Apoptosis,D03,,28h,apoptosis,4,110.24,,2,116608.0,0.464393903419067,,,0.464393903419067
135,135,135,79,D,7,Paclitaxel,"6,89",Apoptosis,D07,,28h,apoptosis,4,6.89,,2,105928.0,0.4218605704700786,,,0.4218605704700786
136,136,136,89,D,17,Paclitaxel,"6,89",Apoptosis,D17,,28h,apoptosis,4,6.89,,2,101544.0,0.4044011948475726,,,0.4044011948475726
137,137,137,94,D,22,Paclitaxel,"6,89",Apoptosis,D22,,28h,apoptosis,4,6.89,,2,89952.0,0.358235802006311,,,0.358235802006311
138,138,138,99,E,3,Etoposide,"67,48",Apoptosis,E03,,28h,apoptosis,5,67.48,,2,116568.0,0.4642346025465989,,,0.4642346025465989
139,139,139,100,E,4,Etoposide,"33,74",Apoptosis,E04,,28h,apoptosis,5,33.74,,2,130008.0,0.5177596956958876,,,0.5177596956958876
140,140,140,101,E,5,Etoposide,"16,87",Apoptosis,E05,,28h,apoptosis,5,16.87,,2,150128.0,0.5978880345473526,,,0.5978880345473526
141,141,141,102,E,6,Etoposide,"8,435",Apoptosis,E06,,28h,apoptosis,5,8.435,,2,169232.0,0.6739701312381273,,,0.6739701312381273
142,142,142,109,E,13,Etoposide,"67,48",Apoptosis,E13,,28h,apoptosis,5,67.48,,2,117768.0,0.4690136287206425,,,0.4690136287206425
143,143,143,110,E,14,Etoposide,"33,74",Apoptosis,E14,,28h,apoptosis,5,33.74,,2,137304.0,0.546816174834073,,,0.546816174834073
144,144,144,111,E,15,Etoposide,"16,87",Apoptosis,E15,,28h,apoptosis,5,16.87,,2,163360.0,0.6505847631598071,,,0.6505847631598071
